,graph,start_index,starting_neighbors,starting_betweenness,transitivity,components,initial_positive,average_path,iterations,threshold,number_convinced
234,SW,21151,6,62648.85216155781,0.21545274302545894,1,10000,6.9299126943015805,5,10,20136
235,SW,21151,6,62648.85216155781,0.21545274302545894,1,15000,6.9299126943015805,5,10,21050
236,SW,21151,6,62648.85216155781,0.21545274302545894,1,1000,6.9299126943015805,5,20,980
237,SW,21151,6,62648.85216155781,0.21545274302545894,1,5000,6.9299126943015805,5,20,17850
238,SW,21151,6,62648.85216155781,0.21545274302545894,1,10000,6.9299126943015805,5,20,19291
239,SW,21151,6,62648.85216155781,0.21545274302545894,1,15000,6.9299126943015805,5,20,20346
240,BA,13097,1,0.0,0.0,1,1000,13.056748903035343,5,5,978
241,BA,13097,1,0.0,0.0,1,5000,13.056748903035343,5,5,19937
242,BA,13097,1,0.0,0.0,1,10000,13.056748903035343,5,5,20894
243,BA,13097,1,0.0,0.0,1,15000,13.056748903035343,5,5,21762
244,BA,13097,1,0.0,0.0,1,1000,13.056748903035343,5,10,974
245,BA,13097,1,0.0,0.0,1,5000,13.056748903035343,5,10,18823
246,BA,13097,1,0.0,0.0,1,10000,13.056748903035343,5,10,20114
247,BA,13097,1,0.0,0.0,1,15000,13.056748903035343,5,10,21030
248,BA,13097,1,0.0,0.0,1,1000,13.056748903035343,5,20,979
249,BA,13097,1,0.0,0.0,1,5000,13.056748903035343,5,20,17723
250,BA,13097,1,0.0,0.0,1,10000,13.056748903035343,5,20,19293
251,BA,13097,1,0.0,0.0,1,15000,13.056748903035343,5,20,20384
252,BA,6112,3,98195.0,0.0,1,1000,13.056748903035343,5,5,980
253,BA,6112,3,98195.0,0.0,1,5000,13.056748903035343,5,5,19896
254,BA,6112,3,98195.0,0.0,1,10000,13.056748903035343,5,5,20961
255,BA,6112,3,98195.0,0.0,1,15000,13.056748903035343,5,5,21803
256,BA,6112,3,98195.0,0.0,1,1000,13.056748903035343,5,10,981
257,BA,6112,3,98195.0,0.0,1,5000,13.056748903035343,5,10,18806
258,BA,6112,3,98195.0,0.0,1,10000,13.056748903035343,5,10,20081
259,BA,6112,3,98195.0,0.0,1,15000,13.056748903035343,5,10,21040
260,BA,6112,3,98195.0,0.0,1,1000,13.056748903035343,5,20,16260
261,BA,6112,3,98195.0,0.0,1,5000,13.056748903035343,5,20,17731
262,BA,6112,3,98195.0,0.0,1,10000,13.056748903035343,5,20,19327
263,BA,6112,3,98195.0,0.0,1,15000,13.056748903035343,5,20,20299
264,BA,19708,1,0.0,0.0,1,1000,13.056748903035343,5,5,980
265,BA,19708,1,0.0,0.0,1,5000,13.056748903035343,5,5,19877
266,BA,19708,1,0.0,0.0,1,10000,13.056748903035343,5,5,21017
267,BA,19708,1,0.0,0.0,1,15000,13.056748903035343,5,5,21745
268,BA,19708,1,0.0,0.0,1,1000,13.056748903035343,5,10,982
269,BA,19708,1,0.0,0.0,1,5000,13.056748903035343,5,10,18845
270,BA,19708,1,0.0,0.0,1,10000,13.056748903035343,5,10,20127
271,BA,19708,1,0.0,0.0,1,15000,13.056748903035343,5,10,20990
272,BA,19708,1,0.0,0.0,1,1000,13.056748903035343,5,20,981
273,BA,19708,1,0.0,0.0,1,5000,13.056748903035343,5,20,17766
274,BA,19708,1,0.0,0.0,1,10000,13.056748903035343,5,20,19217
275,BA,19708,1,0.0,0.0,1,15000,13.056748903035343,5,20,20321
276,BA,21429,1,0.0,0.0,1,1000,13.056748903035343,5,5,976
277,BA,21429,1,0.0,0.0,1,5000,13.056748903035343,5,5,19889
278,BA,21429,1,0.0,0.0,1,10000,13.056748903035343,5,5,20985
279,BA,21429,1,0.0,0.0,1,15000,13.056748903035343,5,5,21822
280,BA,21429,1,0.0,0.0,1,1000,13.056748903035343,5,10,982
281,BA,21429,1,0.0,0.0,1,5000,13.056748903035343,5,10,18849
282,BA,21429,1,0.0,0.0,1,10000,13.056748903035343,5,10,20135
283,BA,21429,1,0.0,0.0,1,15000,13.056748903035343,5,10,20993
